organization_name,organization_headquarters,organization_site,organization_description,link,partner_type
ABB,Switzerland,http://www.abb.com/,ABB is a leading global technology company that energizes the transformation of society and industry to achieve a more productive  sustainable future. By connecting software to its electrification  robotics  automation and motion portfolio  ABB pushes the boundaries of technology to drive performance to new levels. With a history of excellence stretching back more than 130 years  ABB’s success is driven by about 110 000 talented employees in over 100 countries.,https://www.weforum.org/organizations/abb-ltd,strategic partnership
Accenture,Ireland,http://www.accenture.com/,Accenture is a global professional services company with leading capabilities in digital  cloud and security. Combining unmatched experience and specialized skills spanning more than 40 industries  it offers strategy and consulting  technology and operations services and Accenture Song – all powered by its network of Advanced Technology and Intelligent Operations centres. Its 721 000 people deliver on the promise of technology and human ingenuity every day  serving clients in more than 120 countries. Accenture embraces the power of change to create value and shared success for its clients  people  shareholders  partners and communities.,https://www.weforum.org/organizations/accenture,strategic partnership
Adani Group,India,http://www.adanigroup.com/,The Adani Group is a $12 billion global infrastructure conglomerate headquartered in India. The group ended 2016-17 as one of the countrys leading ports and logistics players  private power producers  private transmission players  solar farm developers and operators  solar panel manufacturers  mine developers and operators  and one of the nation’s largest agricultural businesses. As part of its social outreach programme  the group touches millions of rural lives and provides direct and indirect employment to over 100 000 people.,https://www.weforum.org/organizations/adani-ports-and-special-economic-zone-limited-apsez,strategic partnership
Adecco Group,Switzerland,http://www.adeccogroup.com/,The Adecco Group is a talent and advisory company offering 360° solutions for individuals and organizations. It believes in making the future work for everyone. Every day it enables more than 3.5 million careers – skilling  developing and hiring in 60 countries  transforming workforces and lives  and enabling organizations to embrace the future of work. As a Fortune Global 500 company  Adecco leads by example  creating shared value that fuels economies and builds better societies. Its culture of inclusivity  entrepreneurship and teamwork empowers its 34 000 employees  who voted the company number 19 on Great Place to Work’s World’s Best Workplaces 2021 list.,https://www.weforum.org/organizations/adecco-group,strategic partnership
African Rainbow Minerals,South Africa,http://www.arm.co.za/,African Rainbow Minerals (ARM) is a leading diversified South African mining and minerals company with long-life  low unit-cost operations and significant growth opportunities. ARM mines iron ore  manganese ore and alloys  chrome ore and alloys  platinum group metals  copper  nickel and coal. The company also has an investment in gold through its shareholding in Harmony. ARM is committed to responsible environmental stewardship as a fundamental part of sustainable value creation.,https://www.weforum.org/organizations/african-rainbow-minerals,strategic partnership
Agility,Kuwait,http://www.agility.com/,Agility is a global leader in supply chain services  infrastructure and innovation and a pioneer in emerging markets. It is a multi-business operator  with companies that include the world’s largest aviation services company by number of countries  a market leader in developing logistics parks in the Middle East  South Asia and Africa  and companies that provide fuel logistics  customs digitization  remote infrastructure services  e-commerce enablement  digital logistics  and commercial real estate and facilities management. Agility is also an investor in innovation  sustainability and resilience  with a growing portfolio of listed and non-listed investment partners looking to reshape their industries across sectors.,https://www.weforum.org/organizations/agility,strategic partnership
AIG,USA,http://www.aig.com/,American International Group (AIG) is a leading international insurance organization serving customers in more than 130 countries. AIG companies serve commercial  institutional and individual customers through one of the most extensive worldwide property-casualty networks of any insurer. In addition  AIG companies are leading providers of life insurance and retirement services in the United States. AIG common stock is listed on the New York Stock Exchange and the Tokyo Stock Exchange.,https://www.weforum.org/organizations/american-international-group-aig,strategic partnership
Aker,Norway,http://www.akerasa.com/,Aker is an industrial investment company that exercises active ownership concentrated in companies in oil and gas  renewable energy and green technologies  marine biotechnology  industrial software  and asset management. Aker combines industrial expertise with financial strength and capital market expertise. Aker and companies in which it is the largest owner have a workforce of approximately 35 000 people with a footprint in 60 countries.,https://www.weforum.org/organizations/aker-asa,strategic partnership
Alibaba Group,People's Republic of China,http://www.alibabagroup.com/,Alibaba Groups mission is to make it easy to do business anywhere. The company is one of the largest online and mobile commerce companies in the world in terms of gross merchandise volume. Founded in 1999  the company provides the fundamental technology infrastructure and marketing reach to help businesses leverage the power of the internet to establish an online presence and conduct commerce with hundreds of millions of consumers and other businesses.,https://www.weforum.org/organizations/alibaba-group-holding-limited,strategic partnership
AlixPartners,USA,http://www.alixpartners.com/,For more than 40 years  AlixPartners has helped businesses around the world respond to their most critical challenges. It adopts an action-oriented approach  working in small teams with specific industry and functional expertise  and operates at pace  moving from analysis to implementation. It stands with clients until the job is done and measures success in terms of the results delivered. Its approach helps clients confront and overcome future-defining challenges. AlixPartners partners with clients to make the right decisions and take the right actions.,https://www.weforum.org/organizations/alixpartners-llp,strategic partnership
